Time,CPU NUM,Total Mem(bytes),Free Mem(bytes),Pecent Mem Usage,CPU Util 0,CPU Util 1,CPU Util 2,CPU Util 3,CPU Util 4,CPU Util 5,CPU Util 6,CPU Util 7,CPU Util 8,CPU Util 9,CPU Util 10,CPU Util 11,CPU Util 12,CPU Util 13,CPU Util 14,CPU Util 15,CPU Util 16,CPU Util 17,CPU Util 18,CPU Util 19,CPU Util 20,CPU Util 21,CPU Util 22,CPU Util 23
2020-04-29 08:29:41.099828171 +0000 UTC m=+0.021866932,0,50565165056,29537386496,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time,CPU NUM,Total Mem(bytes),Free Mem(bytes),Pecent Mem Usage,CPU Util 0,CPU Util 1,CPU Util 2,CPU Util 3,CPU Util 4,CPU Util 5,CPU Util 6,CPU Util 7,CPU Util 8,CPU Util 9,CPU Util 10,CPU Util 11,CPU Util 12,CPU Util 13,CPU Util 14,CPU Util 15,CPU Util 16,CPU Util 17,CPU Util 18,CPU Util 19,CPU Util 20,CPU Util 21,CPU Util 22,CPU Util 23
2020-04-29 08:29:41.099831921 +0000 UTC m=+0.022163062,0,50565165056,29537386496,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:35:45.62338775 +0000 UTC m=+0.003879603,0,50565165056,29544751104,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:35:45.635617585 +0000 UTC m=+0.022232251,0,50565165056,29545799680,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
2020-04-29 08:36:20.99680878 +0000 UTC m=+0.004169163,0,50565165056,29540130816,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:36:21.015930681 +0000 UTC m=+0.027861866,0,50565165056,29541171200,8.68,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:43:54.047150328 +0000 UTC m=+0.004264668,0,50565165056,29546033152,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:43:54.055368902 +0000 UTC m=+0.025373055,0,50565165056,29546840064,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:44:13.56803191 +0000 UTC m=+0.021102088,0,50565165056,29510545408,8.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:44:13.574858342 +0000 UTC m=+0.004406569,0,50565165056,29536063488,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:47:20.279346683 +0000 UTC m=+0.003084007,0,50565165056,29537964032,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2020-04-29 08:47:20.284006942 +0000 UTC m=+0.022032344,0,50565165056,29539520512,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
2020-04-29 08:48:57.928658526 +0000 UTC m=+0.004115609,0,50565165056,29533585408,8.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:48:57.943956638 +0000 UTC m=+0.024542482,0,50565165056,29534617600,8.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-29 08:49:36.639519726 +0000 UTC m=+0.004479930,0,50565165056,29537591296,8.68,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2020-04-29 08:49:36.656012321 +0000 UTC m=+0.022832739,0,50565165056,29537591296,8.68,0.00,33.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00
